product_url,product_title,price_available,currency,price,brand,image,description,quantity,users,additional_description,additional_images
https://www.armani.com/en-us/giorgio-s-single-breasted-jacket-in-silk-jacquard_cod1647597313155617.html,Giorgioâ€™s single-breasted jacket in silk jacquard,TRUE,USD,4195,Armani,https://www.armani.com/variants/images/1647597313155617/F/w400.jpg,"""A sophisticated single-breasted jacket made of silk featuring a multicoloured geometric-inspired jacquard motif that adds a three-dimensional effect and enhances the lustre of the yarn. The style is embellished with notched lapels and grosgrain-covered buttons, completing the eveningwear look. This style is part of the Giorgioâ€™s collection: a selection of Giorgio Armani apparel and accessories inspired by the evening world. Clean lines, attention to detail, an elegant night-time colour palette and the choice of luxurious materials define this modern and essential selection, providing the look for an effortless evening wardrobe.""",39,25,"""Composition 100% Mulberry silk , Single-breasted jacket, Shawl collar, Grosgrain details, Buttoned, single-breasted closure, Two welt pockets, Breast welt pocket, Covered buttons at the cuffs, Lining with contrasting signature logo, Two internal pockets, Length: 73.5 cm, Made in Italy""","[""https://www.armani.com/variants/images/1647597313155617/D/w400.jpg"",""https://www.armani.com/variants/images/1647597313155617/R/w400.jpg"",""https://www.armani.com/variants/images/1647597313155617/E/w400.jpg"",""https://www.armani.com/variants/images/1647597313155617/B/w400.jpg"",""https://www.armani.com/variants/images/1647597313155617/L/w400.jpg""]"
https://www.armani.com/en-us/plain-knit-stretch-cotton-shirt_cod1647597303927318.html,Plain-knit stretch cotton shirt,TRUE,USD,545,Armani,https://www.armani.com/variants/images/1647597303927318/F/w400.jpg,"""This plain-knit, stretch cotton shirt is available in the collectionâ€™s colour palette. It is defined by a slim fit, back darts, mother-of-pearl buttons and a small collar leaf with metal stays, making it perfect with formal attire.""",8,29,"""Composition 75% Cotton 21% Polyamide 4% Elastane , Slim fit, Small collar leaves with metal collar stays, Long sleeves, Mother-of-pearl logo button closure, Back darts, Back yoke, Made in Italy""","[""https://www.armani.com/variants/images/1647597303927318/D/w400.jpg"",""https://www.armani.com/variants/images/1647597303927318/R/w400.jpg"",""https://www.armani.com/variants/images/1647597303927318/E/w400.jpg"",""https://www.armani.com/variants/images/1647597303927318/A/w400.jpg"",""https://www.armani.com/variants/images/1647597303927318/B/w400.jpg""]"
https://www.armani.com/en-us/giorgio-s-flat-front-trousers-in-wool-crepe_cod1647597313155675.html,Giorgioâ€™s flat-front trousers in wool crÃªpe,TRUE,USD,2495,Armani,https://www.armani.com/variants/images/1647597313155675/F/w400.jpg,"""Elegant flat-front trousers made from wool crÃªpe in a comfortable fit, a must-have in the refined manâ€™s wardrobe. This style is part of the Giorgioâ€™s collection: a selection of Giorgio Armani apparel and accessories inspired by the evening world. Clean lines, attention to detail, an elegant night-time colour palette and the choice of luxurious materials define this modern and essential selection, providing the look for an effortless evening wardrobe.""",50,45,"""Composition 100% Virgin Wool , Flat-front style, Closure with concealed double hook, zip and one button, Two side welt pockets, Two welt-pockets with button on the back, Monochromatic rhinestone piping, Cuff width: 20 cm, Made in Italy""","[""https://www.armani.com/variants/images/1647597313155675/D/w400.jpg"",""https://www.armani.com/variants/images/1647597313155675/R/w400.jpg"",""https://www.armani.com/variants/images/1647597313155675/E/w400.jpg"",""https://www.armani.com/variants/images/1647597313155675/A/w400.jpg"",""https://www.armani.com/variants/images/1647597313155675/B/w400.jpg"",""https://www.armani.com/variants/images/1647597313155675/L/w400.jpg""]"
https://www.armani.com/en-us/velvet-loafers-with-embroidered-logo_cod17411127375893588.html,Velvet loafers with embroidered logo,TRUE,USD,745,Armani,https://www.armani.com/variants/images/17411127375893588/F/w400.jpg,"""The Icon collection is an aesthetic focus around which the identity of the Giorgio Armani brand evolves. A collection of must-have pieces that represent Armaniâ€™s heritage, history and unsurpassed tailoring mastery. Iconic, classic, evergreen designs made from the brandâ€™s signature fabrics and all-Italian craftsmanship. 'Attractive, understated and sophisticated elegance expressed with modern 'flair. A shoe inspired by these ideals has become symbolic of the Giorgio Armani world. Exclusive velvet loafers embellished with the GA logo embroidered on the toe with contrasting piping in the same colour as the embroidery to enhance the design. The style is constructed using the""AGO""process: upper and sole are joined with special glues that make the shoe lightweight and flexible.""",42,71,"""Composition 65% Viscose 35% Cupro , Icon loafers, Front thread embroidery GA logo detail, Matching grosgrain trim, Rubber monobloc soles, Leather insoles, Made in Italy""","[""https://www.armani.com/variants/images/17411127375893588/D/w400.jpg"",""https://www.armani.com/variants/images/17411127375893588/R/w400.jpg"",""https://www.armani.com/variants/images/17411127375893588/E/w400.jpg"",""https://www.armani.com/variants/images/17411127375893588/A/w400.jpg""]"
https://www.armani.com/en-us/long-belted-coat-in-laser-cut-merino-wool_cod1647597278968957.html,"Long, belted coat in laser-cut Merino wool",TRUE,USD,19500,Armani,https://www.armani.com/variants/images/1647597278968957/F/w400.jpg,"""A sumptuous, exquisite piece made of soft Merino wool with a finish that recreates faux fur that then undergoes a Brisa treatment to give it a faded appearance, accentuating the softness of the yarn. The style, refined in every detail, such as the belt and glove-quality, nappa-leather panels, features embroidered satin lining and internal taping. Warm and soft, itâ€™s perfect for wrapping up during cold winter days and wearing with looks suitable for various occasions.""",96,81,"""Composition 100% Shearling , Brisa fur with laser engraving to create the diamond design, Shirt collar, Centre zip closure with logo pull tab, Two welt pockets with concealed snap fastening, Monochromatic vegetable-tanned nappa-leather details, Lined with matching satin, Nappa leather GA logo patch with cordonet embroidery on the outline, Leather tape on the seams, Interior patch pocket in vegetable-tanned nappa leather with matching lustrous yarn GA embroidery, Two buttoned inner pockets, Detachable belt and matching vegetable-tanned nappa-leather details., Length: 120 cm""","[""https://www.armani.com/variants/images/1647597278968957/L/w400.jpg""]"
https://www.armani.com/en-us/double-breasted-hooded-jacket-in-stretch-velvet_cod1647597313155640.html,Double-breasted hooded jacket in stretch velvet,TRUE,USD,3395,Armani,https://www.armani.com/variants/images/1647597313155640/F/w400.jpg,"""A new take on the most classic double-breasted jacket, crafted in stretch velvet. Featuring a closure with four pairs of buttons, it has an original hood that sits on the peak lapels pulled in by a drawstring. A utility detail that lends character to this innovative, versatile piece.""",42,99,"""Composition 66% Viscose 32% Cupro 2% Elastane , Double-breasted jacket, Peak lapels, Four-button closure, Drawstring hood, Two welt pockets with flaps, Breast pocket, Button cuffs, Lined, Length: 78 cm, Made in Italy""","[""https://www.armani.com/variants/images/1647597313155640/D/w400.jpg"",""https://www.armani.com/variants/images/1647597313155640/R/w400.jpg"",""https://www.armani.com/variants/images/1647597313155640/E/w400.jpg"",""https://www.armani.com/variants/images/1647597313155640/A/w400.jpg"",""https://www.armani.com/variants/images/1647597313155640/B/w400.jpg"",""https://www.armani.com/variants/images/1647597313155640/C/w400.jpg"",""https://www.armani.com/variants/images/1647597313155640/L/w400.jpg""]"
https://www.armani.com/en-us/single-breasted-velvet-gilet_cod1647597313155650.html,Single-breasted velvet gilet,TRUE,USD,1195,Armani,https://www.armani.com/variants/images/1647597313155650/F/w400.jpg,"""The brilliance and elegance of velvet, the brandâ€™s iconic fabric, elevates the lines of this single-breasted waistcoat. The style has a V neckline, a distinctive asymmetric button closure and flap pockets. A staple in the elegant manâ€™s wardrobe, perfect for evenings.""",46,31,"""Composition 66% Viscose 32% Cupro 2% Elastane , V neck, Asymmetric horn button fastening, Two pockets with a flap and button, Two side vents, One inside pocket, Lined, Length: 65 cm, Made in Italy""","[""https://www.armani.com/variants/images/1647597313155650/D/w400.jpg"",""https://www.armani.com/variants/images/1647597313155650/R/w400.jpg"",""https://www.armani.com/variants/images/1647597313155650/E/w400.jpg"",""https://www.armani.com/variants/images/1647597313155650/A/w400.jpg"",""https://www.armani.com/variants/images/1647597313155650/B/w400.jpg"",""https://www.armani.com/variants/images/1647597313155650/L/w400.jpg""]"
https://www.armani.com/en-us/velvet-trousers-with-zip-at-the-hem_cod1647597313155666.html,Velvet trousers with zip at the hem,TRUE,USD,1695,Armani,https://www.armani.com/variants/images/1647597313155666/F/w400.jpg,"""Straight-cut trousers made from velvet, the brand's iconic fabric. The style is distinguished by the zip detail at the hem, which permits the adjustment of the leg volume through the opening at the bottom. An informal, athletic piece thatâ€™s perfect for daytime looks.""",63,60,"""Composition 66% Viscose 32% Cupro 2% Elastane , Waistband with belt loops, Button and zip fastening, Two side welt pockets, Two buttoned welt pockets with flap on the back, Knit and zip detail at the hem, Cuff width: 12 cm, Made in Italy""","[""https://www.armani.com/variants/images/1647597313155666/D/w400.jpg"",""https://www.armani.com/variants/images/1647597313155666/R/w400.jpg"",""https://www.armani.com/variants/images/1647597313155666/E/w400.jpg"",""https://www.armani.com/variants/images/1647597313155666/A/w400.jpg"",""https://www.armani.com/variants/images/1647597313155666/B/w400.jpg"",""https://www.armani.com/variants/images/1647597313155666/L/w400.jpg""]"
https://www.armani.com/en-us/giorgio-s-loafers-in-velvet_cod1647597313172393.html,Giorgioâ€™s loafers in velvet,TRUE,USD,1195,Armani,https://www.armani.com/variants/images/1647597313172393/F/w400.jpg,"""Elegant loafers made of velvet with a special pleated motif framed by monochromatic grosgrain piping. The item is part of the Giorgioâ€™s collection: a selection of Giorgio Armani clothing and accessories inspired by the evening world. Clean lines, attention to detail, an elegant night-time colour palette and the choice of luxurious materials define this modern and essential selection, providing the look for an effortless evening wardrobe.""",82,64,"""Composition 65% Viscose 35% Cupro , Style made of pleated velvet, Grosgrain piping, Quilted silk insole, Leather sole with rubber insert on heel, Made in Italy""","[""https://www.armani.com/variants/images/1647597313172393/D/w400.jpg"",""https://www.armani.com/variants/images/1647597313172393/R/w400.jpg"",""https://www.armani.com/variants/images/1647597313172393/E/w400.jpg"",""https://www.armani.com/variants/images/1647597313172393/A/w400.jpg"",""https://www.armani.com/variants/images/1647597313172393/C/w400.jpg""]"
https://www.armani.com/en-us/nappa-leather-blouson-with-velvet-inserts_cod1647597313155698.html,Nappa-leather blouson with velvet inserts,TRUE,USD,8900,Armani,https://www.armani.com/variants/images/1647597313155698/F/w400.jpg,"""A sophisticated intarsia process, the result of expert Italian craftsmanship, gives a bold look to this blouson made from supple glove-quality nappa leather and embellished with inserts in the collection velvet. The style features stretch cashmere-blend knit details, a front double-slider zip closure and two side welt pockets. A refined, luxurious garment, carefully considered in every detail, perfect for adding character to a wide array of looks.""",48,77,"""Composition 100% Lambskin , Cashmere-blend knit baseball collar, Central zip fastening, Cashmere-blend knit cuffs and hem, Two slanted pockets with press studs, Lined with a matching collection satin with an intarsia embroidery logo on the back, Bonded nappa-leather interior pocket, Length: 64 cm, Made in Italy""","[""https://www.armani.com/variants/images/1647597313155698/D/w400.jpg"",""https://www.armani.com/variants/images/1647597313155698/R/w400.jpg"",""https://www.armani.com/variants/images/1647597313155698/E/w400.jpg"",""https://www.armani.com/variants/images/1647597313155698/A/w400.jpg"",""https://www.armani.com/variants/images/1647597313155698/B/w400.jpg"",""https://www.armani.com/variants/images/1647597313155698/C/w400.jpg"",""https://www.armani.com/variants/images/1647597313155698/L/w400.jpg""]"
